title,uri,svgKey
.NET API Catalog,https://apisof.net/,mdi_dotnet_24px
.NET Fiddle,https://dotnetfiddle.net/,mdi_dotnet_24px
.NET Reference Source,https://referencesource.microsoft.com/,mdi_dotnet_24px
CamelCase Converter,https://en.toolpage.org/tool/camelcase,mdi_wrench_24px
draw.io,https://www.draw.io/,mdi_vector_curve_24px
feedly OPML API,https://developer.feedly.com/v3/opml/,mdi_rss_24px
fuget.org: pro nuget package browsing,https://www.fuget.org/,mdi_package_variant_closed_24px
Google Search Central,https://developers.google.com/search/,mdi_google_24px
JS Bin,http://jsbin.com/,mdi_language_javascript_24px
JSON Viewer,https://codebeautify.org/jsonviewer,mdi_code_json_24px
omatsuri: base64 encoding,https://omatsuri.app/b64-encoding/,mdi_image_multiple_24px
quicktype,https://app.quicktype.io/,mdi_wrench_24px
RegExr,https://regexr.com/,mdi_regex_24px
sharplab.io,https://sharplab.io/,mdi_dotnet_24px
StackBlitz,https://stackblitz.com/@BryanWilhite,mdi_code_tags_24px
StackEdit,https://stackedit.io/,mdi_cloud_tags_24px
UNPKG,https://unpkg.com/,mdi_package_variant_closed_24px
vim cheatsheet,http://michael.peopleofhonoronly.com/vim/,mdi_library_24px
Visual Studio Code: Variables Reference,https://code.visualstudio.com/docs/editor/variables-reference/,mdi_library_24px
